"Tesis. La caricatura hecha por mujeres caricaturistas mexicanas, como apoyo para la difusión de la cultura jurídica y la equidad de género","Montes Vázquez, Ana Cecilia"
Informe sobre la desigualdad global 2018,"Facundo Alvaredo, Lucas Chancel, Thomas Piketti (Coord.)"
Women on the Texas frontier a Cross-Cultural perspective,"Patton Malone, Ann"
Border trials Ricardo Flores Magón and the mexican liberals,"Langham, Thomas C."
Pancho Villa at Columbus the raid of 1916,"Braddy, Haldeen"
Pancho Villa at Columbus the raid of 1916,"Braddy, Haldeen"
"Mexican exilies in the borderlands, 1910-13","Henderson, Peter V.N."
United States customs and the Madero revolution,"Dennis Carman, Michael"
Luther T. Ellsworth U.S. Consul on the border during the mexican revolution,"Pierson Kerig, Dorothy"
Tu’un ñochi si tu’un savi,"Pérez Castro, Tiburcio"
Tu’un ñochi si tu’un savi,"Pérez Castro, Tiburcio"
Vocabulario. Nt’uinoya. Términos extraídos de los libros de texto gratuitos en hñahñu,"Cruz Cardón, Tomás Marcelino (Coord.)"
Vocabulario. Nt’uinoya. Términos extraídos de los libros de texto gratuitos en hñahñu,"Cruz Cardón, Tomás Marcelino (Coord.)"
Me’phaa / Xtángoo xú mi’tháán ajngáa me’phaa,"Carrasco Zúñiga, Abad"
Me’phaa / Xtángoo xú mi’tháán ajngáa me’phaa,"Carrasco Zúñiga, Abad"
Vocabulario popoluca de la sierra-español-popoluca de la sierra,"Gutiérrez Morales, Salomé"
Vocabulario popoluca de la sierra-español-popoluca de la sierra,"Gutiérrez Morales, Salomé"
Vocabulario popoluca de la sierra-español-popoluca de la sierra,"Gutiérrez Morales, Salomé"
El sistema fonológico del kickapoo de Coahuila analizado desde las metodologías distribucional y funcional,"Moctezuma Zamarrón, José Luis"
El sistema fonológico del kickapoo de Coahuila analizado desde las metodologías distribucional y funcional,"Moctezuma Zamarrón, José Luis"
Uemac,"Hernández Hernández, Marco Antonio"
Uemac,"Hernández Hernández, Marco Antonio"
"Los verbos del maya yucateco actual. Investigación, clasificación y sistemas conjugacionales","Briceño Chel, Fidencio"
"Los verbos del maya yucateco actual. Investigación, clasificación y sistemas conjugacionales","Briceño Chel, Fidencio"
Vocabulario popoluca de la sierra-español-popoluca de la sierra,"Gutiérrez Morales, Salomé"
Vocabulario popoluca de la sierra-español-popoluca de la sierra,"Gutiérrez Morales, Salomé"
"Cuentos tepehuas de Pisaflores, Ixhuatlán de Madero, Veracruz. Laknawti tan Ch’intamakan Xanti, Ixhuatlán de Madero, Veracruz","Tesillos García, Camerino"
"Cuentos tepehuas de Pisaflores, Ixhuatlán de Madero, Veracruz. Laknawti tan Ch’intamakan Xanti, Ixhuatlán de Madero, Veracruz","Tesillos García, Camerino"
Narraciones mayas de Campeche / Maayáaj Tsikbalilo’ob kaampech,"Can Canul, César"
Narraciones mayas de Campeche / Maayáaj Tsikbalilo’ob kaampech,"Can Canul, César"
Narraciones mayas-libro,"Monforte, Jorge"
Narraciones mayas-libro,"Monforte, Jorge"
Gramática didáctica tojolabal / Skujlayub’il b’a sje’jel ju’un tojol-ab’al. Schab’il te’ile,"Gómez Jiménez, Pablo"
